NMDS1,NMDS2,species
-0.326613885,-0.356985821,Acrdis
-0.123688611,-0.12828242,Ambrep
-0.058167666,-0.074890764,Anasub
-0.132937983,-0.032819335,Anipty
-0.013564664,-0.460115039,Antela
-0.204092227,-0.425814284,Apocon
-0.568839907,-0.309988501,Apopic
-0.326613885,-0.356985821,Arcter
-0.20910399,-0.395172752,Asaabr
-0.23603693,0.437356487,Asachl
-0.277609579,-0.193083117,Asacla
0.424360764,-0.463013665,Atoomm
-0.398604803,0.819520658,Auscal
-0.100849282,0.665022247,Ausgob
-0.248671215,0.122974338,Auspes
-0.204092227,-0.425814284,Auspri
0.569475735,-0.185505637,Bacnot
0.424360764,-0.463013665,Battri
-0.187469554,-0.487501991,Bitdef
-0.204092227,-0.425814284,Bitser
0.209384601,-0.308097278,Calela
0.335770667,-0.226417625,Calgau
0.19924547,-0.334353303,Callin
0.424360764,-0.463013665,Calsel
-0.18858879,0.853467453,Capint
0.335770667,-0.226417625,Catalo
-0.021891761,0.495438821,Chlfil
0.424360764,-0.463013665,Chrpor
0.022253802,-0.117515288,Cleleu
0.274292375,-0.262917319,Colmay
0.424360764,-0.463013665,Colstr
0.335770667,-0.226417625,Crople
-0.547182304,0.795504727,Deahyb
-0.094634803,0.210216181,Decjun
0.424360764,-0.463013665,Declep
-0.785008434,-0.258721316,Dellim
0.040627812,-0.399820882,Diagra
0.010543013,-0.308154873,Dicsph
0.050455936,-0.410223171,Elager
-0.631710411,-0.302815492,Elahel
0.335770667,-0.226417625,Elapla
0.050455936,-0.410223171,Endsar
0.488686885,-0.068619756,Epiasp
0.851167557,0.059587071,Epiemp
0.035028622,-0.46370511,Epihem
0.424360764,-0.463013665,Epixan
0.424360764,-0.463013665,Epyluc
-0.223117868,-0.159357685,Epyros
0.089301284,0.036876554,Eudasp
0.736791364,-0.080460097,Eudast
0.420457359,0.075143595,Eudcha
0.627656207,0.509895451,Euddoc
-0.264375598,0.419996767,Eudmel
0.649965818,-0.115473314,Eudoct
-0.120330583,0.152916535,Eudocu
0.656901123,-0.092341719,Eudpal
-0.098783472,-0.060956145,Eudphi
0.116380054,-0.306236111,Eudtri
0.000301849,-0.139519188,Euxadm
-0.113717933,0.40432832,Gadace
-0.187469554,-0.487501991,Ginneb
0.851167557,0.059587071,Glaint
-0.18858879,0.853467453,Glapyr
-0.187469554,-0.487501991,Glyacr
-0.311878878,0.509998386,Glycio
-0.187469554,-0.487501991,Glyoxy
0.627656207,0.509895451,Glytri
-0.487911704,0.584515497,Gymsar
-0.18858879,0.853467453,Hardis
0.408582393,0.342474394,Harobl
0.851167557,0.059587071,Harsco
0.457653285,-0.062007148,Harsis
-0.061384712,-0.467645853,Helcin
0.3771595,-0.336954067,Helcry
0.591410057,-0.143559927,Helexp
-0.066019965,-0.462201889,Hetcan
0.424360764,-0.463013665,Hetcon
-0.547182304,0.795504727,Heteri
0.851167557,0.059587071,Hieele
0.424360764,-0.463013665,Hofpse
0.424360764,-0.463013665,Homana
-0.420982191,-0.121087172,Hyddel
0.369676621,-0.316969671,Hydpur
0.118587125,-0.095132376,Hydrix
-0.000162367,-0.056563491,Hygnit
-0.236601212,-0.429573618,Ichalo
0.023288624,0.398401268,Icharo
0.29333604,-0.234243679,Ichave
-0.457863093,0.371315824,Ichcun
0.092691798,-0.44338152,Ichinf
-0.188303716,0.511916566,Ichins
-0.204092227,-0.425814284,Ichmar
-0.270889344,0.007483923,Ichmor
0.414487864,0.083690742,Ichnob
0.344188906,-0.200289567,Ichnul
-0.014012977,-0.401121,Icholi
0.386242027,0.110112779,Ichomo
0.201367215,0.032080029,Ichpar
0.079259635,-0.476826235,Ichple
-0.147165808,-0.322166587,Ichrub
-0.215500794,-0.366406435,Ichscu
-0.121847604,-0.342514411,Ichsem
-0.193154724,0.476704778,Ichste
-0.547182304,0.795504727,Ichsul
0.015256965,-0.391566963,Ichust
0.420297037,0.256168339,Ichvir
-0.326613885,-0.356985821,Kiwhip
0.299121227,-0.076382496,Kiwlit
-0.021852489,-0.414652073,Kiwmon
0.189282926,-0.263028175,Kiwpar
-0.250432772,-0.411150193,Kiwsch
0.522417561,0.17258905,Leplin
0.079259635,-0.476826235,Leuser
0.342189612,-0.243560591,Leuspa
0.424360764,-0.463013665,Metcoe
-0.258511998,-0.405405905,Metdot
-0.187469554,-0.487501991,Metmey
0.364259837,-0.224155722,Metoch
0.092691798,-0.44338152,Metstr
0.031507426,-0.378237711,Mettar
0.335770667,-0.226417625,Metvit
0.424360764,-0.463013665,Micqua
-0.202041263,-0.148598235,Mnefla
-0.199264004,-0.365520957,Moneth
0.391605992,0.089267032,Orocal
-0.389154574,-0.343923647,Oroenc
0.5602764,0.011333615,Orolec
0.073521945,0.290511121,Orophi
-0.340459751,-0.0464051,Oroxan
-0.326613885,-0.356985821,Ortchl
0.851167557,0.059587071,Pasaco
-0.014012977,-0.401121,Pascha
-0.187469554,-0.487501991,Pashei
0.710430004,0.343131059,Paslun
0.53004012,0.094704119,Phaapo
0.369676621,-0.316969671,Phtope
-0.114048502,-0.20141274,Phycae
-0.080769366,-0.36582113,Phyhom
-0.12267695,0.230011674,Phylon
0.851167557,0.059587071,Phypri
0.424360764,-0.463013665,Physeq
0.424360764,-0.463013665,Placel
0.018296148,-0.359462738,Plupsa
0.387238408,-0.363871629,Pluxyl
-0.598527767,-0.305561995,Procar
0.627656207,0.509895451,Pronip
-0.547182304,0.795504727,Prosan
0.053322453,0.241685212,Protet
-0.187469554,-0.487501991,Psecol
0.851167557,0.059587071,Psepro
0.424360764,-0.463013665,Schcos
0.851167557,0.059587071,Scoani
0.362195677,0.277827263,Scoasa
0.315376134,0.278862781,Scocha
0.11480355,-0.308031133,Scocya
0.084062002,-0.069597033,Scomon
-0.048347174,-0.381524405,Sconip
-0.642780167,-0.289210314,Scorot
-0.646052422,-0.291073066,Scorub
-0.55581313,-0.316291164,Scoscr
0.114386282,-0.270056565,Scosnr
-0.326613885,-0.356985821,Scotra
0.230031395,0.211045788,Steori
-0.622170235,-0.293628396,Tawpen
0.335770667,-0.226417625,Timomb
0.335770667,-0.226417625,Tinchla
-0.192122185,0.561905815,Tinchlo
-0.148768548,-0.386342904,Tinmac
-0.204092227,-0.425814284,Tinopo
0.627656207,0.509895451,Tinsec
-0.204092227,-0.425814284,Tinsno
-0.204092227,-0.425814284,Tracon
0.092691798,-0.44338152,Udeadv
-0.326613885,-0.356985821,Udenot
-0.437828971,0.8131805,Wiscer
-0.020499628,0.18078415,Wisumb
-0.187469554,-0.487501991,Xanoro
-0.056741339,-0.466914603,Xansem
0.335770667,-0.226417625,Zapste
-0.277457406,-0.379594954,Zerind
